Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%),Driver Vintage
Intel(R) Wi-Fi 6 AX201 160MHz - 23.40.0.4,7722335,46950,35322,17466,7804607,Intel(R) Wi-Fi 6 AX201 160MHz,23.40.0.4,98.9,2024-03-09
Intel(R) Wi-Fi 6E AX211 160MHz - 23.120.0.3,52507,529,52,120,53088,Intel(R) Wi-Fi 6E AX211 160MHz,23.120.0.3,98.9,2025-02-05
Intel(R) Wireless-AC 9560 160MHz - 22.80.0.9,25923,218,71,71,26212,Intel(R) Wireless-AC 9560 160MHz,22.80.0.9,98.9,2021-08-18
Intel(R) Wi-Fi 6E AX211 160MHz - 23.90.0.2,16239600,104486,52713,26461,16396799,Intel(R) Wi-Fi 6E AX211 160MHz,23.90.0.2,99.0,2024-09-25
Intel(R) Wi-Fi 6 AX201 160MHz - 23.90.1.3,143498,637,834,266,144969,Intel(R) Wi-Fi 6 AX201 160MHz,23.90.1.3,99.0,2024-10-12
Intel(R) Wi-Fi 6 AX201 160MHz - 23.20.0.4,203210,569,1573,353,205352,Intel(R) Wi-Fi 6 AX201 160MHz,23.20.0.4,99.0,2023-11-28
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.0.1.1314,185732,487,1397,368,187616,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,3.0.1.1314,99.0,2023-10-11
Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter - 6001.10.353.0,161726,1366,345,253,163437,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,6001.10.353.0,99.0,2022-12-21
Intel(R) Wi-Fi 6 AX201 160MHz - 23.60.1.2,36749239,228808,140001,64526,37118048,Intel(R) Wi-Fi 6 AX201 160MHz,23.60.1.2,99.0,2024-06-02
Intel(R) Dual Band Wireless-AC 8260 - 20.70.32.1,933735,3610,5426,1176,942771,Intel(R) Dual Band Wireless-AC 8260,20.70.32.1,99.0,2022-07-23
Intel(R) Wi-Fi 6 AX201 160MHz - 22.180.0.4,374518,1390,2267,535,378175,Intel(R) Wi-Fi 6 AX201 160MHz,22.180.0.4,99.0,2022-10-17
Intel(R) Wi-Fi 6E AX210 160MHz - 22.150.0.3,55873,127,456,59,56456,Intel(R) Wi-Fi 6E AX210 160MHz,22.150.0.3,99.0,2022-05-23
Intel(R) Wi-Fi 6E AX211 160MHz - 22.130.0.5,2465259,14371,7789,6242,2487419,Intel(R) Wi-Fi 6E AX211 160MHz,22.130.0.5,99.1,2022-03-14
Intel(R) Wi-Fi 6E AX211 160MHz - 23.110.0.5,4081619,23162,12087,10256,4116868,Intel(R) Wi-Fi 6E AX211 160MHz,23.110.0.5,99.1,2025-01-01
Intel(R) Wi-Fi 6 AX201 160MHz - 22.200.0.6,266050,1701,722,427,268473,Intel(R) Wi-Fi 6 AX201 160MHz,22.200.0.6,99.1,2023-01-16
Intel(R) Wi-Fi 6 AX200 160MHz - 21.110.1.1,173596,1094,444,311,175134,Intel(R) Wi-Fi 6 AX200 160MHz,21.110.1.1,99.1,2020-06-30
Intel(R) Wi-Fi 6E AX211 160MHz - 22.170.0.3,302698,2448,215,387,305361,Intel(R) Wi-Fi 6E AX211 160MHz,22.170.0.3,99.1,2022-08-28
Intel(R) Wi-Fi 6E AX211 160MHz - 23.20.1.1,8441258,37433,41132,17694,8519823,Intel(R) Wi-Fi 6E AX211 160MHz,23.20.1.1,99.1,2023-12-19
Intel(R) Wi-Fi 6 AX201 160MHz - 22.200.2.1,4725332,23864,17144,9601,4766340,Intel(R) Wi-Fi 6 AX201 160MHz,22.200.2.1,99.1,2023-03-08
Intel(R) Wi-Fi 6 AX201 160MHz - 21.110.1.1,4033954,20466,16739,7324,4071159,Intel(R) Wi-Fi 6 AX201 160MHz,21.110.1.1,99.1,2020-06-30
Intel(R) Dual Band Wireless-AC 8265 - 20.70.16.4,268575,1247,1028,348,270850,Intel(R) Dual Band Wireless-AC 8265,20.70.16.4,99.2,2019-12-31
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1317,41165,163,160,394,41488,MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter,3.0.1.1317,99.2,2023-11-21
Intel(R) Wi-Fi 6E AX211 160MHz - 22.240.0.6,498214,3479,684,946,502377,Intel(R) Wi-Fi 6E AX211 160MHz,22.240.0.6,99.2,2023-06-17
Intel(R) Wi-Fi 6 AX200 160MHz - 22.60.0.6,87437,513,220,141,88170,Intel(R) Wi-Fi 6 AX200 160MHz,22.60.0.6,99.2,2021-05-26
Intel(R) Wi-Fi 6E AX211 160MHz - 23.60.1.2,32037576,131169,121512,68305,32290257,Intel(R) Wi-Fi 6E AX211 160MHz,23.60.1.2,99.2,2024-06-02
Intel(R) Wi-Fi 6E AX210 160MHz - 23.60.1.2,711808,2243,3292,1235,717343,Intel(R) Wi-Fi 6E AX210 160MHz,23.60.1.2,99.2,2024-06-02
Intel(R) Wi-Fi 6E AX211 160MHz - 23.70.4.1,273909,828,1342,334,276079,Intel(R) Wi-Fi 6E AX211 160MHz,23.70.4.1,99.2,2024-08-13
