Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%),Driver Vintage
Intel(R) Wi-Fi 6 AX200 160MHz - 23.20.1.1,129681,151,654,198,130486,Intel(R) Wi-Fi 6 AX200 160MHz,23.20.1.1,99.4,12/19/2023
Intel(R) Wireless-AC 9560 160MHz - 22.250.0.4,1586559,6565,2272,2307,1595396,Intel(R) Wireless-AC 9560 160MHz,22.250.0.4,99.4,7/25/2023
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.722,79932,21,464,147,80417,Qualcomm QCA61x4A 802.11ac Wireless Adapter,12.0.0.722,99.4,8/21/2018
Intel(R) Dual Band Wireless-AC 7265 - 19.51.40.1,589805,1928,1571,660,593304,Intel(R) Dual Band Wireless-AC 7265,19.51.40.1,99.4,2/19/2022
Intel(R) Wi-Fi 6 AX200 160MHz - 22.200.2.1,731261,2116,2400,876,735777,Intel(R) Wi-Fi 6 AX200 160MHz,22.200.2.1,99.4,3/8/2023
Intel(R) Dual Band Wireless-AC 7265 - 19.10.0.9,16633,0,100,26,16733,Intel(R) Dual Band Wireless-AC 7265,19.10.0.9,99.4,8/20/2016
Intel(R) Wi-Fi 6 AX201 160MHz - 23.50.0.6,1212435,5636,1911,1680,1219982,Intel(R) Wi-Fi 6 AX201 160MHz,23.50.0.6,99.4,4/13/2024
Intel(R) Wi-Fi 6E AX211 160MHz - 23.70.0.6,1636039,5126,3982,1348,1645147,Intel(R) Wi-Fi 6E AX211 160MHz,23.70.0.6,99.4,7/16/2024
Intel(R) Wi-Fi 6 AX201 160MHz - 22.100.0.3,801675,2407,2650,1246,806732,Intel(R) Wi-Fi 6 AX201 160MHz,22.100.0.3,99.4,5/1/2022
Intel(R) Wi-Fi 6 AX201 160MHz - 21.90.2.1,531731,2116,1131,640,534978,Intel(R) Wi-Fi 6 AX201 160MHz,21.90.2.1,99.4,4/15/2020
Intel(R) Wi-Fi 6 AX201 160MHz - 22.10.0.7,2256594,6182,7507,4609,2270283,Intel(R) Wi-Fi 6 AX201 160MHz,22.10.0.7,99.4,10/19/2020
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.2,34458,54,130,41,34642,Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC,2024.10.139.2,99.5,10/22/2023
Intel(R) Dual Band Wireless-AC 8260 - 20.10.0.6,47557,119,99,44,47775,Intel(R) Dual Band Wireless-AC 8260,20.10.0.6,99.5,10/16/2017
Intel(R) Dual Band Wireless-AC 8265 - 20.50.0.5,23770,3,112,45,23885,Intel(R) Dual Band Wireless-AC 8265,20.50.0.5,99.5,Not Found
Intel(R) Dual Band Wireless-AC 8260 - 20.70.21.2,82997,181,243,154,83421,Intel(R) Dual Band Wireless-AC 8260,20.70.21.2,99.5,1/9/2021
Intel(R) Dual Band Wireless-AC 8260 - 20.70.23.1,518848,1669,884,533,521401,Intel(R) Dual Band Wireless-AC 8260,20.70.23.1,99.5,3/20/2021
Intel(R) Wi-Fi 6 AX200 160MHz - 22.170.0.3,244360,832,418,515,245610,Intel(R) Wi-Fi 6 AX200 160MHz,22.170.0.3,99.5,8/28/2022
Intel(R) Wireless-AC 9560 160MHz - 22.250.1.2,1731174,5691,2308,2400,1739173,Intel(R) Wireless-AC 9560 160MHz,22.250.1.2,99.5,8/6/2023
Intel(R) Wireless-AC 9560 160MHz - 23.20.1.1,249390,227,904,496,250521,Intel(R) Wireless-AC 9560 160MHz,23.20.1.1,99.5,12/19/2023
Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.1.2,310716,628,995,730,312339,Intel(R) Wi-Fi 6E AX211 160MHz,22.250.1.2,99.5,8/6/2023
Intel(R) Wi-Fi 6E AX210 160MHz - 23.80.0.7,351178,957,753,645,352888,Intel(R) Wi-Fi 6E AX210 160MHz,23.80.0.7,99.5,9/1/2024
Intel(R) Wi-Fi 6 AX201 160MHz - 23.10.0.8,362432,1099,582,571,364113,Intel(R) Wi-Fi 6 AX201 160MHz,23.10.0.8,99.5,10/30/2023
Intel(R) Dual Band Wireless-AC 7260 - 17.15.0.5,456014,1779,328,577,458121,Intel(R) Dual Band Wireless-AC 7260,17.15.0.5,99.5,Not Found
Intel(R) Wireless-AC 9560 160MHz - 22.110.1.1,20330,55,43,212,20428,Intel(R) Wireless-AC 9560 160MHz,22.110.1.1,99.5,1/1/2022
Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.0.4,1528678,2799,4386,2130,1535863,Intel(R) Wi-Fi 6 AX201 160MHz,22.250.0.4,99.5,7/25/2023
Intel(R) Wi-Fi 6E AX211 160MHz - 23.40.0.4,619210,1744,1469,1651,622423,Intel(R) Wi-Fi 6E AX211 160MHz,23.40.0.4,99.5,3/9/2024
Intel(R) Wi-Fi 6 AX200 160MHz - 21.20.1.1,90563,419,0,112,90982,Intel(R) Wi-Fi 6 AX200 160MHz,21.20.1.1,99.5,5/29/2019
Intel(R) Wi-Fi 6 AX200 160MHz - 22.110.1.1,97329,314,203,165,97846,Intel(R) Wi-Fi 6 AX200 160MHz,22.110.1.1,99.5,1/1/2022
Intel(R) Dual Band Wireless-AC 8265 - 22.110.0.2,2241839,8494,2195,2712,2252528,Intel(R) Dual Band Wireless-AC 8265,22.110.0.2,99.5,11/27/2021
Intel(R) Wi-Fi 6E AX211 160MHz - 23.50.0.6,786559,2082,2257,1683,790898,Intel(R) Wi-Fi 6E AX211 160MHz,23.50.0.6,99.5,4/13/2024
Intel(R) Wi-Fi 6 AX201 160MHz - 22.40.0.7,5831627,12100,13188,12729,5856915,Intel(R) Wi-Fi 6 AX201 160MHz,22.40.0.7,99.6,9/18/2021
Intel(R) Wi-Fi 6E AX211 160MHz - 22.180.0.4,17609,69,0,57,17678,Intel(R) Wi-Fi 6E AX211 160MHz,22.180.0.4,99.6,10/17/2022
Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.0.4,1119047,3924,1009,1771,1123980,Intel(R) Wi-Fi 6E AX211 160MHz,22.250.0.4,99.6,7/25/2023
