Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%)
Intel(R) Wi-Fi 6 AX200 160MHz - 22.70.0.6,139760,933,44,258,140737,Intel(R) Wi-Fi 6 AX200 160MHz,22.70.0.6,99.3
Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.1.2,346392,1418,995,806,348805,Intel(R) Wi-Fi 6E AX211 160MHz,22.250.1.2,99.3
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.0.4,579538,2689,1470,614,583697,Intel(R) Wi-Fi 6 AX200 160MHz,22.250.0.4,99.3
Intel(R) Wi-Fi 6 AX201 160MHz - 23.90.0.2,18713509,97088,35931,26460,18846528,Intel(R) Wi-Fi 6 AX201 160MHz,23.90.0.2,99.3
Intel(R) Wi-Fi 6E AX211 160MHz - 22.160.0.4,20966,56,87,67,21109,Intel(R) Wi-Fi 6E AX211 160MHz,22.160.0.4,99.3
Intel(R) Wi-Fi 6 AX201 160MHz - 22.30.0.11,992260,4274,2688,2300,999222,Intel(R) Wi-Fi 6 AX201 160MHz,22.30.0.11,99.3
Intel(R) Wi-Fi 6E AX211 160MHz - 23.90.1.3,1508086,4024,7079,2381,1519189,Intel(R) Wi-Fi 6E AX211 160MHz,23.90.1.3,99.3
Intel(R) Wireless-AC 9560 160MHz - 22.170.0.3,290187,1542,538,507,292267,Intel(R) Wireless-AC 9560 160MHz,22.170.0.3,99.3
Intel(R) Wi-Fi 6E AX211 160MHz - 23.80.0.7,2115782,6286,8848,3863,2130916,Intel(R) Wi-Fi 6E AX211 160MHz,23.80.0.7,99.3
Intel(R) Wi-Fi 6 AX201 160MHz - 22.80.1.1,1670395,4275,6911,1739,1681581,Intel(R) Wi-Fi 6 AX201 160MHz,22.80.1.1,99.3
Intel(R) Wi-Fi 6 AX201 160MHz - 22.70.0.6,436881,951,1991,850,439823,Intel(R) Wi-Fi 6 AX201 160MHz,22.70.0.6,99.3
Intel(R) Wi-Fi 6 AX200 160MHz - 21.110.1.1,223919,1106,444,407,225469,Intel(R) Wi-Fi 6 AX200 160MHz,21.110.1.1,99.3
Intel(R) Dual Band Wireless-AC 8265 - 22.160.0.4,1377957,5359,3820,1552,1387136,Intel(R) Dual Band Wireless-AC 8265,22.160.0.4,99.3
Intel(R) Wi-Fi 6 AX201 160MHz - 22.230.0.8,2019647,5143,10006,3393,2034796,Intel(R) Wi-Fi 6 AX201 160MHz,22.230.0.8,99.3
Intel(R) Dual Band Wireless-AC 8265 - 20.70.3.3,1101819,4059,2337,1487,1108215,Intel(R) Dual Band Wireless-AC 8265,20.70.3.3,99.4
Intel(R) Wi-Fi 6 AX201 160MHz - 22.10.0.7,2679750,7590,7507,5495,2694847,Intel(R) Wi-Fi 6 AX201 160MHz,22.10.0.7,99.4
Intel(R) Wi-Fi 6 AX201 160MHz - 22.100.0.3,841027,2753,2650,1320,846430,Intel(R) Wi-Fi 6 AX201 160MHz,22.100.0.3,99.4
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.722,87415,24,464,152,87903,Qualcomm QCA61x4A 802.11ac Wireless Adapter,12.0.0.722,99.4
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.1.2,347876,1732,304,606,349912,Intel(R) Wi-Fi 6 AX200 160MHz,22.250.1.2,99.4
Intel(R) Dual Band Wireless-AC 7265 - 19.10.0.9,16633,0,100,26,16733,Intel(R) Dual Band Wireless-AC 7265,19.10.0.9,99.4
Intel(R) Wireless-AC 9560 160MHz - 22.250.0.4,1679307,7721,2272,2396,1689300,Intel(R) Wireless-AC 9560 160MHz,22.250.0.4,99.4
Intel(R) Wi-Fi 6 AX201 160MHz - 23.50.0.6,1236464,5678,1911,1721,1244053,Intel(R) Wi-Fi 6 AX201 160MHz,23.50.0.6,99.4
Intel(R) Dual Band Wireless-AC 8265 - 20.70.21.2,1334732,4623,3835,1995,1343190,Intel(R) Dual Band Wireless-AC 8265,20.70.21.2,99.4
Intel(R) Wi-Fi 6 AX201 160MHz - 22.240.0.6,1652450,7411,3231,3144,1663092,Intel(R) Wi-Fi 6 AX201 160MHz,22.240.0.6,99.4
Intel(R) Wi-Fi 6 AX201 160MHz - 22.100.1.1,1642714,7429,2278,3188,1652421,Intel(R) Wi-Fi 6 AX201 160MHz,22.100.1.1,99.4
Intel(R) Wi-Fi 6 AX200 160MHz - 22.40.0.7,560162,1193,2101,951,563456,Intel(R) Wi-Fi 6 AX200 160MHz,22.40.0.7,99.4
Intel(R) Wi-Fi 6 AX200 160MHz - 23.90.0.2,5932883,27421,10503,6023,5970807,Intel(R) Wi-Fi 6 AX200 160MHz,23.90.0.2,99.4
Intel(R) Wi-Fi 6 AX200 160MHz - 22.200.2.1,732280,2128,2400,882,736808,Intel(R) Wi-Fi 6 AX200 160MHz,22.200.2.1,99.4
Intel(R) Dual Band Wireless-AC 7260 - 18.33.16.2,196587,1139,146,295,197872,Intel(R) Dual Band Wireless-AC 7260,18.33.16.2,99.4
Intel(R) Wi-Fi 6 AX200 160MHz - 21.60.0.5,673040,2695,1597,1557,677332,Intel(R) Wi-Fi 6 AX200 160MHz,21.60.0.5,99.4
Intel(R) Wireless-AC 9560 160MHz - 22.110.1.1,20330,55,43,212,20428,Intel(R) Wireless-AC 9560 160MHz,22.110.1.1,99.5
Intel(R) Wi-Fi 6 AX200 160MHz - 23.20.1.1,149879,151,654,215,150684,Intel(R) Wi-Fi 6 AX200 160MHz,23.20.1.1,99.5
Intel(R) Wi-Fi 6E AX210 160MHz - 23.80.0.7,360138,990,753,685,361881,Intel(R) Wi-Fi 6E AX210 160MHz,23.80.0.7,99.5
Intel(R) Dual Band Wireless-AC 7265 - 19.51.40.1,643441,1961,1571,704,646973,Intel(R) Dual Band Wireless-AC 7265,19.51.40.1,99.5
Intel(R) Dual Band Wireless-AC 8265 - 22.110.0.2,2355508,8923,2195,2799,2366626,Intel(R) Dual Band Wireless-AC 8265,22.110.0.2,99.5
Intel(R) Dual Band Wireless-AC 8265 - 20.70.25.2,1616988,7065,634,2305,1624687,Intel(R) Dual Band Wireless-AC 8265,20.70.25.2,99.5
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.2,34458,54,130,41,34642,Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC,2024.10.139.2,99.5
Intel(R) Wireless-AC 9560 160MHz - 23.20.1.1,256828,281,904,508,258013,Intel(R) Wireless-AC 9560 160MHz,23.20.1.1,99.5
Intel(R) Wi-Fi 6 AX200 160MHz - 22.170.0.3,274003,934,418,583,275355,Intel(R) Wi-Fi 6 AX200 160MHz,22.170.0.3,99.5
Intel(R) Wi-Fi 6E AX211 160MHz - 23.40.0.4,662280,1848,1469,1754,665597,Intel(R) Wi-Fi 6E AX211 160MHz,23.40.0.4,99.5
Intel(R) Wi-Fi 6 AX201 160MHz - 21.90.2.1,656856,2465,1131,748,660452,Intel(R) Wi-Fi 6 AX201 160MHz,21.90.2.1,99.5
Intel(R) Dual Band Wireless-AC 8260 - 20.70.2.1,181486,456,444,178,182386,Intel(R) Dual Band Wireless-AC 8260,20.70.2.1,99.5
Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter - 6001.10.356.1,876475,3864,180,1429,880519,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,6001.10.356.1,99.5
Intel(R) Dual Band Wireless-AC 7260 - 17.15.0.5,474885,2096,328,588,477309,Intel(R) Dual Band Wireless-AC 7260,17.15.0.5,99.5
Intel(R) Wireless-AC 9560 160MHz - 22.250.1.2,2136478,7907,2308,2720,2146693,Intel(R) Wireless-AC 9560 160MHz,22.250.1.2,99.5
Intel(R) Wi-Fi 6E AX211 160MHz - 23.70.0.6,1661862,5126,3982,1387,1670970,Intel(R) Wi-Fi 6E AX211 160MHz,23.70.0.6,99.5
Intel(R) Wi-Fi 6E AX211 160MHz - 23.50.0.6,794069,2086,2257,1705,798412,Intel(R) Wi-Fi 6E AX211 160MHz,23.50.0.6,99.5
