Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%)
Intel(R) Dual Band Wireless-AC 7265 - 19.51.37.2,152549,1949,759,171,155257,Intel(R) Dual Band Wireless-AC 7265,19.51.37.2,98.3
Intel(R) Wi-Fi 6E AX211 160MHz - 22.170.2.1,6770255,72136,44113,16833,6886504,Intel(R) Wi-Fi 6E AX211 160MHz,22.170.2.1,98.3
NETGEAR A6100 WiFi Adapter - 1030.25.701.2017,127829,2205,7,90,130041,NETGEAR A6100 WiFi Adapter,1030.25.701.2017,98.3
Intel(R) Wi-Fi 6 AX201 160MHz - 23.110.0.5,794916,10598,2527,2000,808041,Intel(R) Wi-Fi 6 AX201 160MHz,23.110.0.5,98.4
Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.10.1,2781409,24871,20122,6292,2826402,Intel(R) Wi-Fi 6 AX201 160MHz,22.250.10.1,98.4
Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.1.2,12512445,122640,84319,19615,12719404,Intel(R) Wi-Fi 6 AX201 160MHz,22.250.1.2,98.4
Intel(R) Wi-Fi 6E AX211 160MHz - 23.60.0.10,103024,1472,191,237,104687,Intel(R) Wi-Fi 6E AX211 160MHz,23.60.0.10,98.4
Intel(R) Wi-Fi 6 AX200 160MHz - 22.120.1.9,1345155,17475,4607,1459,1367237,Intel(R) Wi-Fi 6 AX200 160MHz,22.120.1.9,98.4
Intel(R) Wi-Fi 6 AX201 160MHz - 22.110.1.1,3195650,29526,18622,5577,3243798,Intel(R) Wi-Fi 6 AX201 160MHz,22.110.1.1,98.5
Intel(R) Dual Band Wireless-AC 8265 - 20.70.18.2,1085026,12020,4733,1625,1101779,Intel(R) Dual Band Wireless-AC 8265,20.70.18.2,98.5
Intel(R) Dual Band Wireless-AC 8265 - 20.70.27.1,678155,6881,3714,847,688750,Intel(R) Dual Band Wireless-AC 8265,20.70.27.1,98.5
