Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Good Roaming Calculation (%)
Intel(R) Wireless-AC 9560 160MHz - 22.40.0.7,2057,0,0,5,2057,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.250.10.1,953,0,0,4,953,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.240.0.6,4033,0,0,7,4033,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.230.0.8,2299,0,0,3,2299,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.220.0.4,2915,0,0,5,2915,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.200.2.1,8137,0,0,14,8137,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.170.0.3,2032,0,0,4,2032,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.150.1.1,3345,0,0,6,3345,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.150.0.3,87,0,0,1,87,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.140.0.3,2775,0,0,3,2775,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.130.0.5,2115,0,0,4,2115,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.10.0.7,2202,0,49,4,2251,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.90.3.2,720,0,0,1,720,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.230.0.8,22041,0,195,48,22236,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.200.0.6,4844,0,1,5,4845,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.0.4,7941,0,0,11,7941,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.70.0.6,456,0,0,1,456,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.50.1.1,4316,0,0,7,4316,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.40.1.4,720,0,0,1,720,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.30.3.2,718,0,0,1,718,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.120.0.9,1222,0,0,3,1222,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.110.3.2,716,0,0,1,716,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.110.2.1,362,0,0,1,362,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.10.0.5,2496,0,0,5,2496,100.0%
Intel(R) Wireless-AC 9560 160MHz - 20.110.0.3,720,0,0,1,720,100.0%
Intel(R) Wireless-AC 9560 160MHz - 20.100.0.4,719,0,0,1,719,100.0%
Intel(R) Wireless-AC 9462 - 22.250.1.2,454,0,0,1,454,100.0%
Intel(R) Wireless-AC 9260 160MHz - 23.80.0.7,1481,0,0,3,1481,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.20.0.4,3852,0,0,8,3852,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.100.0.4,2641,0,1,4,2642,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.80.0.9,498,0,0,1,498,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.60.0.6,309,0,0,1,309,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.50.1.1,2051,0,0,2,2051,100.0%
Intel(R) Wireless-AC 9260 160MHz - 23.60.1.2,909,0,0,3,909,100.0%
Intel(R) Wireless-AC 9260 160MHz - 23.40.0.4,191,0,0,1,191,100.0%
Intel(R) Wireless-AC 9260 160MHz - 23.20.1.1,720,0,0,1,720,100.0%
Intel(R) Wireless-AC 9260 160MHz - 23.10.0.8,914,0,0,1,914,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.40.0.7,1502,0,0,4,1502,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.30.0.11,1922,0,1,3,1923,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.240.0.6,1438,0,0,2,1438,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.180.0.4,1768,0,0,3,1768,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.160.0.4,506,0,0,1,506,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.140.0.3,968,0,0,1,968,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.130.0.5,931,0,0,1,931,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 22.250.10.1,720,0,0,1,720,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 22.250.1.2,2,0,0,1,2,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 22.250.0.4,120,0,0,1,120,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 22.170.2.1,717,0,0,1,717,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 22.170.0.3,126,0,0,2,126,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 22.150.0.3,720,0,0,1,720,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 22.110.1.1,2170,0,0,1,2170,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 22.100.0.3,41,0,0,1,41,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.80.1.3,78,0,0,3,78,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.2.3,1066,0,1,3,1067,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.0.6,724,0,1,2,725,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 22.160.0.4,66,0,0,1,66,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 22.150.3.1,214,0,0,1,214,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 22.150.1.1,1,0,0,1,1,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 22.110.1.1,3363,0,0,6,3363,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 22.100.1.1,717,0,0,1,717,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 23.80.0.7,4152,0,2,6,4154,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 23.40.0.4,456,0,0,2,456,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 23.20.1.1,2,0,0,1,2,100.0%
Intel(R) Wireless-AC 9260 160MHz - 21.60.0.5,720,0,0,1,720,100.0%
Intel(R) Wireless-AC 9260 160MHz - 21.50.1.1,1570,0,0,3,1570,100.0%
Intel(R) Wireless-AC 9260 160MHz - 21.20.1.1,1,0,0,1,1,100.0%
Intel(R) Wireless-AC 9260 160MHz - 20.120.0.100,717,0,0,1,717,100.0%
Intel(R) Wireless-AC 9260 - 20.70.0.100,526,0,0,2,526,100.0%
Intel(R) Wi-Fi 7 BE200 320MHz - 23.60.1.2,1400,0,0,2,1400,100.0%
Intel(R) Wi-Fi 7 BE200 320MHz - 23.40.2.1,720,0,0,1,720,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 23.90.0.2,1228,0,1,3,1229,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 23.80.1.3,164,0,0,2,164,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 23.70.2.3,2170,0,0,6,2170,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 23.60.0.10,792,0,0,3,792,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 23.40.1.1,437,0,0,2,437,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 23.100.0.4,717,0,0,1,717,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 23.10.0.8,4743,0,0,10,4743,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 22.220.0.4,716,0,0,1,716,100.0%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.141.0,171,0,0,2,171,100.0%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.135.0,1033,0,0,2,1033,100.0%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.124.0,526,0,0,1,526,100.0%
Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter - 6001.10.356.0,1438,0,0,2,1438,100.0%
Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter - 6001.10.353.0,2370,0,0,6,2370,100.0%
Realtek RTL8822CE 802.11ac PCIe Adapter - 2024.10.228.7,793,0,0,1,793,100.0%
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.3,89,0,0,1,89,100.0%
Realtek 8811CU Wireless LAN 802.11ac USB NIC - 1030.44.1014.2024,77,0,0,1,77,100.0%
Qualcomm QCA9377 802.11ac Wireless Adapter - 12.0.0.953,697,0,0,1,697,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.926,2372,0,0,3,2372,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.1272,5740,0,0,10,5740,100.0%
Intel(R) Dual Band Wireless-AC 3168 - 19.51.40.1,1438,0,0,2,1438,100.0%
Intel(R) Dual Band Wireless-AC 3165 - 22.130.0.5,1250,0,0,2,1250,100.0%
Intel(R) Dual Band Wireless-AC 3160 - 18.33.17.1,1438,0,0,2,1438,100.0%
Intel(R) Centrino(R) Ultimate-N 6300 AGN - 15.18.0.1,720,0,0,1,720,100.0%
23.80.0.7,1377,0,0,3,1377,100.0%
23.70.0.6,2609,0,0,5,2609,100.0%
23.40.1.1,612,0,0,1,612,100.0%
22.170.0.3,686,0,0,1,686,100.0%
21.110.1.1,662,0,0,1,662,100.0%
19.51.24.3,609,0,0,1,609,100.0%
19.51.21.1,621,0,0,1,621,100.0%
Wi-Fi - 16.0 (1657),982,0,3,5,985,100.0%
"Wi-Fi  (0x14E4, 0x7BF) - 16.0 (1657)",53,0,0,1,53,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 23.70.0.6,20806,2,0,23,20808,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.220.0.4,9693,1,0,19,9694,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.3.3,17191,2,3,30,17196,100.0%
Intel(R) Wi-Fi 6E AX210 160MHz - 23.60.1.2,7859,1,55,19,7915,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.10.0.8,6385,1,0,9,6386,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.60.0.10,6383,1,1,16,6385,100.0%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.143.0,5984,1,0,17,5985,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.180.0.4,5962,1,0,7,5963,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.230.0.8,5759,1,0,9,5760,100.0%
Intel(R) Dual Band Wireless-AC 7260 - 18.33.17.1,5618,1,1,8,5620,100.0%
Intel(R) Wi-Fi 6E AX211 160MHz - 23.50.0.6,5472,1,2,11,5475,100.0%
